Wall time,Step,Value
1675349897.1755657,2048,-1445.4000244140625
1675349925.1166737,4096,-1336.0250244140625
1675349952.9769351,6144,-1175.2294921875
1675349981.0106227,8192,-1053.456787109375
1675350009.0498307,10240,-917.7899780273438
1675350036.8728251,12288,-606.239990234375
1675350064.7500079,14336,-285.95001220703125
1675350092.6918561,16384,-3.8499999046325684
1675350120.619361,18432,260.67999267578125
1675350148.7684696,20480,447.6600036621094
1675350176.7928858,22528,595.7000122070312
1675350204.7146268,24576,648.5
1675350236.3662207,26624,713.6400146484375
1675350267.176593,28672,753.9500122070312
1675350294.9543364,30720,797.6300048828125
1675350325.106564,32768,802.510009765625
1675350352.8241541,34816,850.260009765625
1675350380.601044,36864,882.25
1675350409.14167,38912,883.1900024414062
1675350438.8428862,40960,892.530029296875
1675350472.2892826,43008,897.9500122070312
1675350500.6563063,45056,914.9000244140625
1675350529.386865,47104,921.8599853515625
1675350557.301889,49152,954.0
1675350584.7690125,51200,990.8400268554688
1675350612.563071,53248,1018.1099853515625
1675350641.6695263,55296,1026.050048828125
1675350669.3725793,57344,1055.260009765625
1675350696.7552621,59392,1071.02001953125
1675350723.8706121,61440,1088.050048828125
1675350751.5001292,63488,1123.18994140625
1675350778.744325,65536,1136.77001953125
1675350807.0810328,67584,1148.8499755859375
1675350835.4831555,69632,1169.2900390625
1675350862.4585285,71680,1164.8199462890625
1675350889.8469741,73728,1162.260009765625
1675350916.9356625,75776,1158.1600341796875
1675350943.5704403,77824,1174.6600341796875
1675350970.4152918,79872,1197.0400390625
1675350997.7524555,81920,1190.5
1675351024.728756,83968,1158.699951171875
1675351056.1105738,86016,1182.0400390625
1675351084.5852928,88064,1187.72998046875
1675351113.1631458,90112,1166.6700439453125
1675351144.35701,92160,1190.5699462890625
1675351173.901567,94208,1206.489990234375
1675351202.224721,96256,1200.6099853515625
1675351229.750544,98304,1195.260009765625
1675351257.3957746,100352,1204.3800048828125
1675351284.6906877,102400,1194.8399658203125
1675351311.810233,104448,1204.27001953125
1675351339.152005,106496,1189.56005859375
1675351366.397839,108544,1205.449951171875
1675351393.6921,110592,1187.739990234375
1675351420.8099709,112640,1195.9000244140625
1675351447.6548865,114688,1209.0999755859375
1675351474.8227603,116736,1246.1099853515625
1675351502.0772371,118784,1263.6700439453125
1675351529.3781238,120832,1298.18994140625
1675351556.4567482,122880,1308.1400146484375
1675351583.8623862,124928,1315.27001953125
1675351611.686469,126976,1289.010009765625
1675351643.3143256,129024,1251.280029296875
1675351670.517631,131072,1252.6400146484375
1675351697.6227717,133120,1263.72998046875
1675351724.8842332,135168,1275.5799560546875
1675351751.8996866,137216,1307.5
1675351779.051273,139264,1324.4000244140625
1675351806.1639376,141312,1340.6600341796875
1675351833.5323792,143360,1331.719970703125
1675351860.812179,145408,1337.8499755859375
1675351887.8034952,147456,1331.02001953125
1675351915.2141325,149504,1320.949951171875
1675351942.5014102,151552,1291.489990234375
1675351969.7125459,153600,1280.8299560546875
1675351996.9510474,155648,1237.2900390625
1675352024.204833,157696,1230.75
1675352051.6488469,159744,1233.969970703125
1675352078.494825,161792,1253.9100341796875
1675352105.615976,163840,1254.0799560546875
1675352133.0476305,165888,1250.6700439453125
1675352160.3929574,167936,1233.2099609375
1675352187.5837462,169984,1239.0
1675352219.3908837,172032,1225.030029296875
1675352246.9938006,174080,1238.949951171875
1675352274.052476,176128,1267.6199951171875
1675352301.3867435,178176,1281.77001953125
1675352328.706216,180224,1260.8399658203125
1675352355.879653,182272,1250.3800048828125
1675352382.9742084,184320,1245.6800537109375
1675352410.1770768,186368,1254.5899658203125
1675352437.2859306,188416,1244.260009765625
1675352464.507982,190464,1263.97998046875
1675352491.655507,192512,1282.72998046875
1675352518.6200566,194560,1287.9599609375
1675352545.4469059,196608,1330.8699951171875
1675352572.9617438,198656,1362.3900146484375
1675352600.0857885,200704,1376.8599853515625
1675352627.3986206,202752,1399.27001953125
1675352654.8007784,204800,1390.300048828125
1675352682.3346984,206848,1347.3699951171875
1675352709.8272536,208896,1308.3199462890625
1675352736.770109,210944,1321.43994140625
1675352764.088731,212992,1289.0799560546875
1675352795.4364166,215040,1325.280029296875
1675352822.6641161,217088,1331.3199462890625
1675352849.9540055,219136,1362.989990234375
1675352877.350644,221184,1357.5899658203125
1675352904.7572372,223232,1384.1099853515625
1675352932.0852792,225280,1360.02001953125
1675352959.1389835,227328,1347.1600341796875
1675352986.4159129,229376,1329.8599853515625
1675353013.6200309,231424,1344.3900146484375
1675353041.0781853,233472,1333.6199951171875
1675353068.2920694,235520,1349.8299560546875
1675353095.7051365,237568,1366.1400146484375
1675353123.1160822,239616,1328.6199951171875
1675353150.3856947,241664,1290.3299560546875
1675353177.7669444,243712,1287.27001953125
1675353204.7537532,245760,1295.3599853515625
1675353231.9370396,247808,1314.0400390625
1675353259.2743347,249856,1318.989990234375
1675353286.2902899,251904,1356.0799560546875
1675353313.6416206,253952,1363.3800048828125
1675353345.2109792,256000,1340.5
1675353372.3526037,258048,1322.0
1675353399.479975,260096,1337.52001953125
1675353426.444488,262144,1304.449951171875
1675353453.4733045,264192,1338.6400146484375
1675353480.3388329,266240,1343.72998046875
1675353507.3357527,268288,1361.0
1675353534.1309988,270336,1382.25
1675353561.4322765,272384,1391.6700439453125
1675353588.640416,274432,1351.0699462890625
1675353615.823247,276480,1352.010009765625
1675353642.9298263,278528,1362.5699462890625
1675353670.2508276,280576,1342.56005859375
1675353697.292016,282624,1333.75
1675353724.283001,284672,1352.4000244140625
1675353751.3734348,286720,1350.43994140625
1675353778.5789514,288768,1331.2900390625
1675353805.7799673,290816,1335.550048828125
1675353832.7062569,292864,1354.219970703125
1675353859.7672138,294912,1330.050048828125
1675353886.5345721,296960,1336.510009765625
1675353917.9362519,299008,1357.0699462890625
1675353945.3378067,301056,1372.510009765625
1675353973.1485138,303104,1349.3399658203125
1675354000.5237596,305152,1344.68994140625
1675354027.6514683,307200,1336.949951171875
1675354054.9685433,309248,1343.239990234375
1675354082.3578544,311296,1322.7099609375
1675354109.8934882,313344,1320.550048828125
1675354137.0999813,315392,1308.9100341796875
1675354164.5044973,317440,1281.800048828125
1675354191.8442426,319488,1282.219970703125
1675354219.2524729,321536,1273.6600341796875
1675354246.530066,323584,1258.3299560546875
1675354273.7622921,325632,1248.02001953125
1675354301.1110883,327680,1253.6199951171875
1675354328.662862,329728,1251.18994140625
1675354355.8669863,331776,1274.2900390625
1675354383.222728,333824,1287.1800537109375
1675354410.4891372,335872,1293.8599853515625
1675354437.8114367,337920,1302.2900390625
1675354464.922777,339968,1315.199951171875
1675354496.4781718,342016,1304.4599609375
1675354523.652329,344064,1317.550048828125
1675354550.8337696,346112,1330.550048828125
1675354578.2592282,348160,1334.699951171875
1675354605.8662755,350208,1313.2900390625
1675354633.5710304,352256,1302.3699951171875
1675354660.7629411,354304,1333.6800537109375
1675354688.5475187,356352,1305.3699951171875
1675354716.0406833,358400,1304.31005859375
1675354743.7694132,360448,1311.4200439453125
1675354771.143149,362496,1312.800048828125
1675354798.3708737,364544,1301.4599609375
1675354825.858536,366592,1334.550048828125
1675354853.3975062,368640,1348.4000244140625
1675354880.902264,370688,1323.0899658203125
1675354908.5715237,372736,1327.97998046875
1675354936.1317363,374784,1312.81005859375
1675354963.6954508,376832,1287.050048828125
1675354991.714663,378880,1282.719970703125
1675355019.3665807,380928,1317.3399658203125
1675355046.9821012,382976,1323.030029296875
1675355079.07952,385024,1312.969970703125
1675355107.1869564,387072,1289.97998046875
1675355134.8358202,389120,1282.780029296875
1675355162.9456532,391168,1277.800048828125
1675355190.5674152,393216,1295.739990234375
1675355218.010332,395264,1282.02001953125
1675355245.8089466,397312,1330.1500244140625
1675355273.3621967,399360,1332.6600341796875
1675355301.0020754,401408,1317.699951171875
1675355328.7487981,403456,1286.949951171875
1675355356.2791562,405504,1301.31005859375
1675355384.0091245,407552,1298.3299560546875
1675355411.960179,409600,1299.969970703125
1675355439.6809952,411648,1296.68994140625
1675355467.5418606,413696,1302.1400146484375
1675355495.1024804,415744,1301.1600341796875
1675355523.0522647,417792,1290.6700439453125
1675355550.7257206,419840,1295.7099609375
1675355578.275807,421888,1320.3299560546875
1675355605.9591236,423936,1293.6400146484375
1675355633.413361,425984,1306.6600341796875
1675355665.1554937,428032,1311.989990234375
1675355692.6867936,430080,1340.050048828125
1675355720.1498125,432128,1341.0699462890625
1675355747.4803832,434176,1378.6500244140625
1675355774.957587,436224,1374.81005859375
1675355802.8669753,438272,1356.5699462890625
1675355830.5287685,440320,1334.8499755859375
1675355858.373889,442368,1309.300048828125
1675355886.123241,444416,1301.2900390625
1675355913.6285856,446464,1309.4200439453125
1675355941.2274814,448512,1285.800048828125
1675355968.7931874,450560,1277.4000244140625
1675355996.5306664,452608,1288.7099609375
1675356024.060205,454656,1280.81005859375
1675356051.589889,456704,1243.22998046875
1675356079.1485183,458752,1255.27001953125
1675356106.8386886,460800,1253.43994140625
1675356134.9806523,462848,1247.31005859375
1675356163.4045012,464896,1281.9599609375
1675356191.1080823,466944,1299.0899658203125
1675356218.68369,468992,1296.6300048828125
1675356250.7557786,471040,1283.030029296875
1675356278.574529,473088,1286.199951171875
1675356306.0099914,475136,1291.1800537109375
1675356333.602038,477184,1285.780029296875
1675356360.7702613,479232,1291.47998046875
1675356387.7179463,481280,1323.8499755859375
1675356415.0477655,483328,1324.199951171875
1675356442.321536,485376,1329.530029296875
1675356469.7101717,487424,1333.0699462890625
1675356497.0137796,489472,1351.4000244140625
1675356524.3472517,491520,1356.5
1675356551.469486,493568,1368.3599853515625
1675356578.781983,495616,1354.22998046875
1675356605.9340472,497664,1360.760009765625
1675356633.0449328,499712,1330.6099853515625
1675356660.0913415,501760,1325.31005859375
1675356687.0406697,503808,1322.949951171875
1675356713.9859426,505856,1327.5400390625
1675356741.2320185,507904,1328.800048828125
1675356768.330497,509952,1342.050048828125
1675356799.8416846,512000,1319.02001953125
1675356826.9868643,514048,1334.43994140625
1675356854.013608,516096,1337.06005859375
1675356881.0666654,518144,1356.0899658203125
