Wall time,Step,Value
1654285939.005639,3000,-2149.43359375
1654286004.2321832,8000,-2490.810302734375
1654286021.6087446,9500,-2537.741455078125
1654286061.4520895,12500,-2724.79931640625
1654286166.269381,20500,-2789.840087890625
1654286179.974427,21500,-2784.469970703125
1654286192.98201,22500,-2783.929931640625
1654286201.9771194,23000,-2783.2900390625
1654286215.1417012,24000,-2776.989990234375
1654286253.3720486,27000,-2760.260009765625
1654286257.46655,27500,-2759.43994140625
1654286269.3823173,28500,-2755.14990234375
1654286324.6443741,33000,-2753.320068359375
1654286360.431382,36000,-2756.14990234375
1654286364.4967525,36500,-2754.89990234375
1654286372.2998505,37000,-2755.5400390625
1654286376.365639,37500,-2755.7099609375
1654286407.9149241,40000,-2755.139892578125
1654286455.2618098,44000,-2753.31005859375
1654286495.175414,47500,-2752.77001953125
1654286542.514193,51500,-2750.1201171875
1654286562.1562705,53000,-2749.300048828125
1654286566.193488,53500,-2750.320068359375
1654286609.4634097,57000,-2742.43994140625
1654286637.2948382,59500,-2732.080078125
1654286685.0031877,63500,-2736.93994140625
1654286705.1008377,65000,-2736.6201171875
1654286709.1585062,65500,-2735.52001953125
1654286764.3157735,70000,-2730.156494140625
1654286776.176734,71000,-2730.61669921875
1654286780.2284298,71500,-2730.9765625
1654286827.562135,75500,-2737.7265625
1654286859.0893734,78000,-2776.050048828125
1654286874.9239433,79500,-2782.60009765625
1654286930.1318393,84000,-2783.75
1654286934.1879501,84500,-2784.070068359375
1654286989.350659,89000,-2756.81005859375
1654286993.3848546,89500,-2753.6201171875
1654287024.877596,92000,-2745.080078125
1654287036.7290847,93000,-2744.489990234375
1654287040.7811987,93500,-2744.489990234375
1654287064.4629283,95500,-2746.1201171875
1654287111.706938,99500,-2750.10009765625
1654287158.863838,103500,-2760.68994140625
1654287166.6475978,104000,-2760.330078125
1654287170.7336543,104500,-2759.300048828125
1654287194.384177,106500,-2759.2099609375
1654287261.2122214,112000,-2724.6298828125
1654287296.7624779,115000,-2733.77001953125
1654287324.4926736,117500,-2743.72998046875
1654287344.0801103,119000,-2748.159912109375
1654287415.7895877,125000,-2610.679931640625
1654287451.2497377,128000,-2529.510009765625
1654287478.9265091,130500,-2513.7900390625
1654287498.5486672,132000,-2529.669921875
1654287522.223023,134000,-2571.320068359375
1654287545.7460718,136000,-2633.7900390625
1654287557.5450747,137000,-2658.030029296875
1654287668.2090468,146500,-2694.4599609375
1654287699.766273,149000,-2601.179931640625
1654287703.8398378,149500,-2597.260009765625
1654287735.2969153,152000,-2596.68994140625
1654287758.8567529,154000,-2598.820068359375
1654287762.899688,154500,-2595.7099609375
1654287774.6835866,155500,-2578.8701171875
1654287822.0357323,159500,-2686.830078125
1654287829.7685406,160000,-2686.0400390625
1654287865.1627152,163000,-2649.39990234375
1654287869.235875,163500,-2630.2099609375
1654287877.0448458,164000,-2655.2099609375
1654287892.9153464,165500,-2664.85009765625
1654287948.3881419,170000,-2605.0400390625
1654287995.8326092,174000,-2635.489990234375
1654288090.3983586,182000,-2690.080078125
1654288113.9544623,184000,-2683.580078125
1654288149.3257813,187000,-2666.159912109375
1654288172.858298,189000,-2644.169921875
1654288184.7679405,190000,-2636.1298828125
1654288255.565359,196000,-2512.679931640625
1654288259.6240263,196500,-2525.929931640625
1654288354.724393,204500,-2573.31005859375
1654288433.9588528,211000,-2476.6201171875
1654288438.0010262,211500,-2468.679931640625
1654288449.7856324,212500,-2478.2099609375
1654288485.631077,215500,-2429.419921875
1654288541.0445924,220000,-2320.090087890625
1654288552.8260255,221000,-2344.090087890625
1654288556.8792005,221500,-2351.800048828125
1654288576.4452584,223000,-2396.68994140625
1654288611.9127874,226000,-2444.010009765625
1654288663.4290853,230500,-2509.219970703125
1654288683.4392903,232000,-2417.169921875
1654288687.4914675,232500,-2410.77001953125
1654288742.6900234,237000,-2318.02001953125
1654288746.8290758,237500,-2288.820068359375
1654288837.9335132,245000,-2273.570068359375
1654288849.7191424,246000,-2314.449951171875
1654288861.819288,247000,-2400.919921875
1654288944.6000652,254000,-2426.2900390625
1654288972.4757748,256500,-2480.889892578125
1654288984.2680473,257500,-2504.919921875
1654289003.807512,259000,-2614.139892578125
1654289051.0186,263000,-2788.780029296875
1654289086.536492,266000,-2792.580078125
1654289098.36001,267000,-2764.919921875
1654289114.2288065,268500,-2730.080078125
1654289149.6516852,271500,-2673.2900390625
1654289180.9662135,274000,-2588.889892578125
1654289239.8925614,279000,-2379.02001953125
1654289251.665604,280000,-2344.14990234375
1654289275.2728703,282000,-2326.2900390625
1654289310.7083642,285000,-2452.780029296875
1654289334.390876,287000,-2437.7900390625
1654289338.4736345,287500,-2448.590087890625
1654289369.912522,290000,-2508.1201171875
1654289381.7947385,291000,-2501.72998046875
1654289385.8568869,291500,-2525.18994140625
1654289397.6164238,292500,-2490.580078125
1654289409.4462628,293500,-2437.580078125
1654289417.204194,294000,-2434.77001953125
1654289444.930532,296500,-2481.969970703125
1654289452.6584451,297000,-2512.469970703125
1654289503.977826,301500,-2358.219970703125
1654289539.3096182,304500,-2444.97998046875
1654289551.1430726,305500,-2478.550048828125
1654289582.4613278,308000,-2426.889892578125
1654289610.0852613,310500,-2606.030029296875
1654289621.922219,311500,-2704.14990234375
1654289692.848291,317500,-2750.1298828125
1654289736.0661244,321000,-2570.8701171875
1654289740.1707256,321500,-2561.64990234375
1654289751.95932,322500,-2544.639892578125
1654289759.6936066,323000,-2545.780029296875
1654289763.73182,323500,-2529.260009765625
1654289771.4958735,324000,-2494.080078125
1654289783.2521188,325000,-2392.6201171875
1654289799.5910556,326500,-2299.800048828125
1654289823.2230968,328500,-2396.06005859375
1654289854.5362234,331000,-2416.72998046875
1654289870.3763204,332500,-2424.760009765625
1654289894.0733902,334500,-2466.489990234375
1654289913.5547786,336000,-2447.969970703125
1654289917.599463,336500,-2469.419921875
1654289929.383743,337500,-2423.27001953125
1654289937.1326346,338000,-2396.590087890625
1654289952.9792867,339500,-2477.2900390625
1654289960.7318406,340000,-2491.3798828125
1654289976.6924875,341500,-2496.969970703125
1654289984.4727597,342000,-2464.5
1654290012.2075596,344500,-2424.14990234375
1654290019.9630215,345000,-2462.929931640625
1654290059.6554513,348500,-2460.840087890625
1654290079.2884376,350000,-2387.5
1654290102.9599636,352000,-2331.4599609375
1654290118.8072984,353500,-2315.840087890625
1654290130.6381323,354500,-2315.0400390625
1654290142.4432302,355500,-2257.0400390625
1654290166.147724,357500,-2354.139892578125
1654290189.749162,359500,-2380.52001953125
1654290209.3195684,361000,-2392.639892578125
1654290213.364397,361500,-2421.070068359375
1654290221.1634972,362000,-2443.43994140625
1654290261.0793228,365500,-2413.489990234375
1654290296.660401,368500,-2291.179931640625
1654290308.5415778,369500,-2374.52001953125
1654290316.3215988,370000,-2399.85009765625
1654290339.9767115,372000,-2417.719970703125
1654290363.6992521,374000,-2431.330078125
1654290379.609942,375500,-2568.9599609375
1654290387.4050956,376000,-2620.5400390625
1654290391.46126,376500,-2646.75
1654290403.3082416,377500,-2646.449951171875
1654290415.1422644,378500,-2544.77001953125
1654290470.2168097,383000,-2244.800048828125
1654290474.261627,383500,-2247.969970703125
1654290493.80292,385000,-2248.4599609375
1654290497.8486505,385500,-2243.4599609375
1654290505.5599961,386000,-2235.909912109375
1654290517.3746717,387000,-2222.820068359375
1654290521.4397745,387500,-2213.330078125
1654290556.9714901,390500,-2372.719970703125
1654290580.6671941,392500,-2483.639892578125
1654290588.4419694,393000,-2466.64990234375
1654290600.228088,394000,-2425.1298828125
1654290612.086165,395000,-2406.909912109375
1654290628.0019474,396500,-2491.610107421875
1654290635.7699368,397000,-2513.330078125
1654290639.8390446,397500,-2519.830078125
1654290647.6318464,398000,-2518.7900390625
1654290663.5501664,399500,-2471.68994140625
1654290687.2313771,401500,-2515.0
1654290718.8140028,404000,-2419.659912109375
1654290722.881236,404500,-2420.25
1654290730.6533413,405000,-2410.429931640625
1654290766.2226436,408000,-2368.0400390625
1654290801.7021313,411000,-2278.97998046875
1654290825.3322535,413000,-2194.10009765625
1654290841.2008753,414500,-2141.169921875
1654290864.8302042,416500,-2137.3798828125
1654290888.6308897,418500,-2209.7900390625
1654290900.535233,419500,-2264.929931640625
1654290931.847515,422000,-2490.9599609375
1654290947.7502968,423500,-2604.6201171875
1654291073.8306732,434000,-2354.010009765625
1654291085.6190388,435000,-2409.260009765625
1654291089.6594002,435500,-2428.550048828125
1654291113.215189,437500,-2396.340087890625
1654291125.0238562,438500,-2378.52001953125
1654291148.6713595,440500,-2274.389892578125
1654291160.4756224,441500,-2315.320068359375
1654291207.5857546,445500,-2152.6201171875
1654291243.0024524,448500,-2258.260009765625
1654291266.5831313,450500,-2228.159912109375
1654291309.6281075,454000,-2334.60009765625
1654291313.6583111,454500,-2306.89990234375
1654291321.3925009,455000,-2275.169921875
1654291325.4287007,455500,-2246.449951171875
1654291356.8120186,458000,-2194.199951171875
1654291368.693718,459000,-2217.719970703125
1654291384.6366906,460500,-2288.3701171875
1654291392.6003602,461000,-2316.22998046875
1654291404.3923512,462000,-2316.3798828125
1654291451.6377428,466000,-2278.5
1654291455.6805153,466500,-2272.090087890625
1654291475.2118762,468000,-2325.39990234375
1654291514.6617472,471500,-2320.050048828125
1654291534.1917753,473000,-2333.1298828125
1654291585.4700046,477500,-2330.85009765625
1654291597.2201664,478500,-2302.64990234375
1654291604.9555821,479000,-2311.860107421875
1654291609.0506444,479500,-2348.97998046875
1654291628.5872624,481000,-2460.06005859375
1654291632.6254406,481500,-2475.449951171875
1654291656.2928476,483500,-2544.389892578125
1654291687.7499955,486000,-2588.030029296875
1654291691.8116486,486500,-2554.949951171875
1654291715.524402,488500,-2430.47998046875
1654291723.2843585,489000,-2376.929931640625
1654291727.3944628,489500,-2312.070068359375
1654291735.172115,490000,-2297.860107421875
1654291758.8104858,492000,-2243.550048828125
1654291762.8686788,492500,-2252.219970703125
1654291782.5075374,494000,-2240.85009765625
1654291786.5506933,494500,-2250.800048828125
1654291833.8598025,498500,-2500.320068359375
1654291857.5699663,500500,-2603.889892578125
1654291869.3893409,501500,-2636.110107421875
1654291881.1984246,502500,-2595.18994140625
1654291888.9247494,503000,-2574.8798828125
1654291928.437189,506500,-2486.080078125
1654291936.1381853,507000,-2498.0400390625
1654291940.1824636,507500,-2487.3798828125
1654291959.7150989,509000,-2381.81005859375
1654292007.055042,513000,-2278.8798828125
1654292018.905819,514000,-2355.72998046875
1654292042.7359838,516000,-2301.510009765625
1654292046.7899253,516500,-2250.889892578125
1654292066.3919618,518000,-2201.199951171875
1654292078.239053,519000,-2251.449951171875
1654292117.8021176,522500,-2339.68994140625
1654292184.5682006,528000,-2196.14990234375
1654292196.4576974,529000,-2179.89990234375
1654292231.8615713,532000,-2092.570068359375
1654292235.9346778,532500,-2076.010009765625
1654292247.810113,533500,-2057.179931640625
1654292259.5557892,534500,-2173.669921875
1654292283.1407273,536500,-2394.419921875
1654292306.699639,538500,-2448.5400390625
1654292318.5284264,539500,-2431.159912109375
1654292349.9511857,542000,-2441.919921875
1654292353.9982715,542500,-2438.6201171875
1654292361.7582603,543000,-2432.4599609375
1654292409.283828,547000,-2272.840087890625
1654292445.0495095,550000,-2355.9599609375
1654292468.9843845,552000,-2473.10009765625
1654292473.0394356,552500,-2519.10009765625
1654292480.7897282,553000,-2553.39990234375
1654292532.2324378,557500,-2516.929931640625
1654292544.000616,558500,-2550.4599609375
1654292563.5416732,560000,-2540.25
1654292599.0983663,563000,-2282.070068359375
1654292603.130595,563500,-2274.080078125
1654292646.2736835,567000,-2257.280029296875
1654292658.078216,568000,-2208.97998046875
1654292776.5478778,578000,-2147.330078125
1654292780.609236,578500,-2172.72998046875
1654292804.3088138,580500,-2289.6201171875
1654292812.0859623,581000,-2314.169921875
1654292816.116367,581500,-2314.360107421875
1654292922.474408,590500,-2689.139892578125
1654292942.0736532,592000,-2689.35009765625
1654292953.8082206,593000,-2692.64990234375
1654292993.1917126,596500,-2618.429931640625
1654293000.9974556,597000,-2588.22998046875
1654293036.4741297,600000,-2575.39990234375
1654293048.3030884,601000,-2518.239990234375
1654293076.0980952,603500,-2433.06005859375
1654293087.8731704,604500,-2409.179931640625
1654293099.687207,605500,-2392.409912109375
1654293123.2961454,607500,-2318.550048828125
1654293182.4420254,612500,-2140.56005859375
1654293229.7527144,616500,-2011.2900390625
1654293237.525629,617000,-2051.110107421875
1654293241.5715816,617500,-2091.889892578125
1654293253.3419094,618500,-2149.860107421875
1654293272.9008763,620000,-2221.75
1654293300.4943504,622500,-2230.14990234375
1654293320.0240624,624000,-2219.530029296875
1654293355.5063422,627000,-2225.68994140625
1654293367.3459356,628000,-2150.239990234375
1654293379.153551,629000,-2102.2900390625
1654293383.2655673,629500,-2134.56005859375
1654293403.1687663,631000,-2099.110107421875
1654293415.311632,632000,-2151.239990234375
1654293431.2059639,633500,-2257.9599609375
1654293478.8076844,637500,-2289.64990234375
1654293522.0290258,641000,-2426.139892578125
1654293557.5646133,644000,-2328.10009765625
1654293581.2992458,646000,-2495.159912109375
1654293585.3594048,646500,-2525.3798828125
1654293593.1383953,647000,-2533.820068359375
1654293597.231356,647500,-2565.199951171875
1654293632.9824493,650500,-2692.320068359375
1654293652.6442082,652000,-2698.39990234375
1654293692.3361933,655500,-2698.68994140625
1654293704.2785902,656500,-2694.18994140625
1654293723.9230616,658000,-2629.280029296875
1654293727.9851768,658500,-2607.75
1654293747.5214417,660000,-2489.239990234375
1654293782.9655805,663000,-2365.25
1654293794.8652534,664000,-2329.010009765625
1654293810.8065479,665500,-2253.199951171875
1654293830.45906,667000,-2281.0
1654293834.5233257,667500,-2310.25
1654293846.384191,668500,-2286.1201171875
1654293854.146399,669000,-2284.590087890625
1654293889.6163478,672000,-2293.4599609375
1654293960.893339,678000,-2182.419921875
1654294024.0657084,683500,-2166.10009765625
1654294047.8021617,685500,-2161.449951171875
1654294103.0481799,690000,-2371.31005859375
1654294130.8950794,692500,-2321.570068359375
1654294138.8040485,693000,-2326.52001953125
1654294154.838154,694500,-2327.39990234375
1654294162.6120508,695000,-2330.989990234375
1654294174.4670267,696000,-2326.010009765625
1654294178.5151727,696500,-2288.739990234375
1654294198.1746254,698000,-2215.27001953125
1654294296.8284473,706500,-2508.510009765625
1654294304.547499,707000,-2516.0400390625
1654294308.5970879,707500,-2531.469970703125
1654294339.91147,710000,-2544.469970703125
1654294355.8114743,711500,-2483.22998046875
1654294379.4993997,713500,-2512.22998046875
1654294387.2080119,714000,-2498.1298828125
1654294391.2631462,714500,-2493.010009765625
1654294414.856769,716500,-2571.389892578125
1654294422.614905,717000,-2608.7900390625
1654294438.5765507,718500,-2658.530029296875
1654294462.227199,720500,-2718.10009765625
1654294474.1069844,721500,-2706.43994140625
1654294556.9478893,728500,-2268.64990234375
1654294612.0570629,733000,-2193.60009765625
1654294616.1024053,733500,-2236.93994140625
1654294682.8206663,739000,-2207.429931640625
1654294729.9969993,743000,-2314.06005859375
1654294734.0571518,743500,-2319.320068359375
1654294753.661253,745000,-2402.5400390625
1654294765.4863837,746000,-2494.0400390625
1654294769.5717115,746500,-2524.530029296875
1654294816.9635434,750500,-2596.4599609375
1654294824.7225175,751000,-2609.830078125
1654294828.7866638,751500,-2657.169921875
1654294852.4041743,753500,-2697.699951171875
1654294864.244962,754500,-2645.030029296875
1654294876.0308747,755500,-2590.35009765625
1654294923.2636852,759500,-2419.0
1654294954.4800627,762000,-2413.8701171875
1654294958.537751,762500,-2414.419921875
1654294978.106958,764000,-2350.75
1654295017.5535827,767500,-2599.090087890625
1654295088.5394697,773500,-2515.360107421875
1654295120.0162747,776000,-2339.300048828125
1654295124.0979362,776500,-2311.610107421875
1654295135.938257,777500,-2260.070068359375
1654295143.7046673,778000,-2213.090087890625
1654295179.2885766,781000,-2245.409912109375
1654295218.785808,784500,-2269.5
1654295226.5759342,785000,-2278.64990234375
1654295277.8211865,789500,-2292.070068359375
1654295301.5744598,791500,-2331.5
