Wall time,Step,Value
1649339763.5509834,2400,-2250.169677734375
1649339827.0515785,7600,-2173.81787109375
1649339858.8500597,10000,-2196.411865234375
1649339934.488398,16400,-2179.071044921875
1649339944.9269984,17200,-2192.228271484375
1649339958.8097644,18400,-2174.456298828125
1649339968.9704564,19200,-2150.842041015625
1649339996.0239136,21600,-2169.1416015625
1649340009.362599,22800,-2177.306396484375
1649340082.2243996,28800,-2192.27734375
1649340099.934618,30000,-2161.35888671875
1649340124.267713,32000,-2167.990478515625
1649340161.82605,35200,-2109.5830078125
1649340195.4692109,38000,-2080.014404296875
1649340231.8473837,41200,-2085.732666015625
1649340244.826184,42400,-2080.369140625
1649340247.7761636,42800,-2078.77197265625
1649340280.929145,45600,-2175.484619140625
1649340340.052991,50800,-2141.840087890625
1649340407.953377,56000,-1833.984130859375
1649340462.1843574,60400,-1758.2052001953125
1649340487.859657,62400,-1780.641357421875
1649340502.4368398,63600,-1744.3106689453125
1649340547.9626875,67200,-1750.5601806640625
1649340551.3616288,67600,-1761.74853515625
1649340602.4367013,71600,-1678.868896484375
1649340628.1717153,73600,-1717.39453125
1649340639.544902,74400,-1746.4140625
1649340643.3148408,74800,-1750.481201171875
1649340665.3061519,76400,-1711.57861328125
1649340704.8835845,79600,-1705.963134765625
1649340744.0805142,82800,-1624.8194580078125
1649340751.4697897,83200,-1589.7828369140625
1649340776.691585,85200,-1551.2999267578125
1649340830.0938947,89600,-1482.411376953125
1649340862.011932,92000,-1514.1097412109375
1649340886.7418082,94000,-1544.5655517578125
1649340900.6350644,95200,-1533.6722412109375
1649340961.2846215,100000,-1530.2254638671875
1649340990.0309796,102400,-1535.437255859375
1649341014.9899068,104400,-1527.62548828125
1649341050.8512404,107200,-1446.46484375
1649341068.1222377,108800,-1443.51708984375
1649341078.6345541,109600,-1441.5208740234375
1649341175.7344744,117200,-1450.8577880859375
1649341201.126956,119200,-1415.8853759765625
1649341204.502965,119600,-1430.1707763671875
1649341229.8092246,121600,-1473.62841796875
1649341254.1723268,123600,-1509.7620849609375
1649341265.3875718,124400,-1509.8489990234375
1649341306.457038,127600,-1509.38525390625
1649341313.9605258,128000,-1536.1256103515625
1649341346.4144397,130800,-1520.0018310546875
1649341368.4505656,132400,-1433.5596923828125
1649341416.0479486,136000,-1295.075439453125
1649341455.9605289,139200,-1124.8321533203125
1649341536.280387,145600,-755.0993041992188
1649341558.362738,147200,-717.6939697265625
1649341587.3544707,149600,-677.6038208007812
1649341609.4027038,151200,-639.084228515625
1649341620.3957129,152000,-607.669921875
1649341831.857803,168800,-576.6124877929688
1649341839.4238257,169200,-582.8585205078125
1649341850.3974726,170000,-591.7037963867188
1649341879.4723094,172400,-585.5905151367188
1649341927.119848,176000,-566.162109375
1649341934.1410944,176800,-543.4517211914062
1649341941.7968087,177200,-580.989990234375
1649341956.3330011,178400,-580.1417236328125
1649341985.6381578,180800,-608.9323120117188
1649342033.4322317,184400,-665.7664794921875
1649342048.0464122,185600,-705.8428955078125
1649342055.6175823,186000,-715.719970703125
1649342107.0579467,190000,-792.91259765625
1649342191.025913,196800,-969.83349609375
1649342201.9907691,197600,-1044.96435546875
1649342277.19955,203200,-1443.7998046875
1649342303.3389628,205200,-1525.0841064453125
1649342314.2991219,206000,-1553.1248779296875
1649342328.6046126,207200,-1594.9517822265625
1649342368.0909216,210400,-1547.8782958984375
1649342396.0002432,212800,-1456.7510986328125
1649342406.627188,213600,-1467.0450439453125
1649342420.6522038,214800,-1471.078125
1649342453.0872123,217200,-1382.5892333984375
1649342498.9756837,219200,-1357.7027587890625
