Wall time,Step,Value
1654254029.55039,2048,-2264.343017578125
1654254055.440318,4096,-2115.061767578125
1654254080.4227328,6144,-1956.6573486328125
1654254105.144795,8192,-1909.0675048828125
1654254129.9714768,10240,-1863.4068603515625
1654254154.9702988,12288,-1776.0205078125
1654254180.701749,14336,-1715.3551025390625
1654254205.681331,16384,-1746.4986572265625
1654254230.898803,18432,-1749.3411865234375
1654254255.8047519,20480,-1725.7054443359375
1654254281.0965621,22528,-1649.5902099609375
1654254305.6791983,24576,-1667.6170654296875
1654254329.8081782,26624,-1617.130615234375
1654254354.1665525,28672,-1549.3712158203125
1654254378.2844636,30720,-1519.0615234375
1654254402.4887245,32768,-1525.7589111328125
1654254426.6021683,34816,-1416.1533203125
1654254450.6529944,36864,-1393.4149169921875
1654254474.82172,38912,-1386.8223876953125
1654254499.4091806,40960,-1341.06591796875
1654254527.6729825,43008,-1264.8367919921875
1654254551.8436584,45056,-1252.6143798828125
1654254575.8662255,47104,-1214.4312744140625
1654254599.792545,49152,-1155.3326416015625
1654254623.5243993,51200,-1117.40185546875
1654254648.1580558,53248,-1026.7723388671875
1654254672.4699712,55296,-942.1959228515625
1654254696.7160747,57344,-821.1456909179688
1654254720.794961,59392,-790.3253173828125
1654254745.0567071,61440,-760.956787109375
1654254769.3366685,63488,-746.43408203125
1654254793.4859333,65536,-710.477294921875
1654254818.4629745,67584,-738.0711059570312
1654254842.3567498,69632,-649.034423828125
1654254866.508457,71680,-542.765625
1654254890.7828124,73728,-501.2864990234375
1654254914.7700953,75776,-537.7218017578125
1654254939.251185,77824,-468.35308837890625
1654254963.6986136,79872,-465.08221435546875
1654254987.9227183,81920,-468.0315856933594
1654255012.1005747,83968,-413.8118896484375
1654255040.1020682,86016,-297.6942138671875
1654255063.9539661,88064,-254.08070373535156
1654255087.728862,90112,-198.97630310058594
1654255111.6182446,92160,-158.73069763183594
1654255135.3849332,94208,-154.94610595703125
1654255159.494013,96256,-170.0926055908203
1654255184.0535378,98304,-155.88259887695312
1654255208.162764,100352,-171.16470336914062
1654255231.9980206,102400,-179.27520751953125
1654255255.8242471,104448,-156.53819274902344
1654255282.0358968,106496,-130.10060119628906
1654255308.0552237,108544,-103.09449768066406
1654255333.3750498,110592,-75.62879943847656
1654255357.8658745,112640,-55.92559814453125
1654255382.263115,114688,-49.55080032348633
1654255406.4923835,116736,-32.957401275634766
1654255430.8906753,118784,-33.87730026245117
1654255454.8606987,120832,-9.97029972076416
1654255479.1759949,122880,18.117399215698242
1654255503.4436362,124928,46.826698303222656
1654255527.5417385,126976,33.75130081176758
1654255555.259425,129024,16.935300827026367
1654255578.87579,131072,-0.8223000168800354
1654255602.7772899,133120,-1.6572999954223633
1654255626.7358973,135168,10.551600456237793
1654255650.6976216,137216,32.74129867553711
1654255674.5733888,139264,79.5790023803711
1654255698.3126948,141312,104.43389892578125
1654255723.0429115,143360,123.11289978027344
1654255747.098558,145408,128.8231964111328
1654255771.394633,147456,-43.52050018310547
1654255795.547688,149504,-118.43219757080078
1654255819.6217492,151552,-248.6562042236328
1654255849.9019308,153600,-331.9787902832031
1654255873.8973098,155648,-327.073486328125
1654255900.8780284,157696,-173.6302032470703
1654255927.0097406,159744,-100.49140167236328
1654255953.2774267,161792,52.89339828491211
1654255979.765713,163840,101.94940185546875
1654256006.0266418,165888,115.35449981689453
1654256031.6910121,167936,124.47149658203125
1654256056.3179715,169984,116.09020233154297
1654256085.1469307,172032,104.71260070800781
1654256112.1492865,174080,122.74600219726562
1654256138.4380915,176128,139.9739990234375
1654256166.586186,178176,151.5279998779297
1654256191.7752821,180224,148.1282958984375
1654256216.981614,182272,169.02369689941406
